entry_id	title	performer	composer	catalog_size_mb	source_url	download_status
KR23	Harinam Japa - Hare Krishna Mahamantra	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	unknown	4	https://www.krishnacast.org/audio/kirtan/Harinama_Japa.mp3	not_retrieved_site_verification
KR19	RadhaKrishnaBolBol - Takes the Names of Radha Krishna	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Srila Bhaktivinod Thakur	2.3	https://www.krishnacast.org/audio/kirtan/RadhaKrishnaBolBol.mp3	not_retrieved_site_verification
KR18	Akrodha Paramananda Nityananda Raya - Barsana	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Locana Das Thakur	2.35	https://www.krishnacast.org/audio/kirtan/AkrodhaParamanandaNityanandaRaya.mp3	not_retrieved_site_verification
KR9	Nitayananda Kirtan - Akrodh Paramananda Nityananda Rai	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Srila Narottam Das Thakur	1.69	https://www.krishnacast.org/audio/kirtan/AkrodhParmanandaNityananda.mp3	not_retrieved_site_verification
KR3	SriKrishnaChaitanyaPrabhu - Taking the names of Lord Chaitanya	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Srila Narottam Das Thakur	4.3	https://www.krishnacast.org/audio/kirtan/SriKrishnaChaitanyaPrabhu-Guruji.mp3	not_retrieved_site_verification
KR55	Baladev Kirtan	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	0.89	https://www.krishnacast.org/audio/kirtan/Baladev%20Kirtan.mp3	not_retrieved_site_verification
KR60	Govinda Hare Gopal Hare	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	1.77	https://www.krishnacast.org/audio/kirtan/Govinda%20Hare%20Gopal%20Hare.mp3	not_retrieved_site_verification
KR61	Jaya Govind Jaya Gopal	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	2.03	https://www.krishnacast.org/audio/kirtan/Jaya%20Govinda%20Jaya%20Gopala.mp3	not_retrieved_site_verification
KR63	Kirtan In Dauji	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	1.53	https://www.krishnacast.org/audio/kirtan/Kirtan%20In%20Dauji.mp3	not_retrieved_site_verification
KR65	Narsingha Mantra and Kirtana	Sri Srimad Bhakti Ballabh Tirtha Goswami Maharaj	Vedas	6.28	https://www.krishnacast.org/audio/kirtan/Narasingha%20Mantra%20%26%20Kirtan.mp3	not_retrieved_site_verification
